Nom;Prenom;Age;Salaire;Langage de Programmation;Niveau d'Experience;Projets en Cours
Day;Jennifer;33;68636;C++;Senior;projetA
Luna;Michele;37;78847;JavaScript;Junior;projetA
Parsons;David;32;78242;JavaScript;Senior;projetA
Herrera;Caitlyn;35;63154;Python;Senior;projetA
Mejia;Heather;29;84500;Java;Senior;projetC
Herring;Laura;31;74525;JavaScript;Senior;projetC
Henderson;Tracy;26;67620;JavaScript;Junior;projetC
Cohen;Shelby;40;74671;Python;Junior;projetC
Nunez;Brian;29;75990;Python;Senior;projetE
Miranda;Nancy;30;62043;Python;Junior;projetE
Miller;Derek;33;89704;Python;Senior;projetE
Gilbert;Veronica;36;61517;Python;Senior;projetE
Freeman;Thomas;33;80303;C++;Junior;projetG
Stephens;Donna;30;86658;JavaScript;Junior;projetG
Riggs;Michelle;35;72579;JavaScript;Senior;projetG
Mckay;Daniel;35;76323;Java;Junior;projetG
Shelton;April;30;85937;C++;Senior;projetA
Jones;Patricia;31;71955;Java;Senior;projetA
Burton;Matthew;35;61477;Python;Junior;projetA
Ellis;Brandon;28;88210;Java;Junior;projetA
Thompson;Lisa;40;70884;C++;Senior;projetB
Marshall;Susan;28;86939;JavaScript;Junior;projetB
Miles;Shawn;35;84021;C++;Senior;projetB
Patel;Rachael;35;89398;Java;Junior;projetC
Casey;Nicholas;31;82315;Java;Junior;projetC
Perez;Barbara;40;78837;C++;Junior;projetC
Chung;Jo;35;69258;Java;Junior;projetD
Ritter;Cameron;25;87212;Python;Junior;projetD
Hicks;Phillip;30;82536;Java;Junior;projetD
Garcia;Larry;33;80619;Java;Senior;projetE
Torres;Robert;38;68501;Python;Senior;projetE
Hughes;Jacqueline;32;77603;Python;Senior;projetE
Weaver;Michael;34;82231;Java;Senior;projetF
Nichols;Stephen;35;76882;Python;Junior;projetF
Hurst;Ryan;28;66945;Python;Senior;projetF
Hoffman;Kevin;40;69150;Java;Junior;projetG
Santana;Patrick;36;72307;Java;Junior;projetG
Hammond;Raymond;39;72220;C++;Senior;projetG
Ingram;Carrie;37;65776;Java;Senior;projetH
Roberson;Frank;32;86344;JavaScript;Senior;projetH
Pearson;Kimberly;39;89501;Java;Junior;projetH
Huber;Ronald;36;89550;Python;Junior;projetA
Moreno;Scott;33;75779;C++;Junior;projetA
Haney;George;35;61837;JavaScript;Junior;projetA
Watkins;Samuel;27;88473;JavaScript;Senior;projetB
Chandler;Haley;32;63315;C++;Senior;projetB
Cabrera;Edward;38;71076;JavaScript;Junior;projetB
Jensen;Raven;36;79512;Python;Junior;projetC
Fox;Katie;25;75605;Python;Senior;projetC
Castillo;Katherine;25;79105;Java;Junior;projetC
