LastName;FirstNAme;Age;Salary;Team;Budget;Supervised projects
Barton;Amanda;51;105241;Weaver,Hicks,Jensen,Thompson;254699;projectF,projectD,projectC,projectB
Berger;William;46;96609;Fox,Mckay,Shelton;202525;projectC,projectG,projectA
Carey;John;40;117274;Mejia,Freeman,Gilbert;226793;projectE,projectC,projectG
Craig;Savannah;40;93834;Herrera,Henderson,Luna;277661;projectA,projectC
Cruz;Ann;55;94439;Cabrera,Perez,Hoffman;249622;projectB,projectC,projectG
Gonzalez;Sarah;54;108206;Miles,Stephens,Casey;295211;projectB,projectG,projectC
Hudson;Ian;40;115685;Roberson,Miller,Cohen;289464;projectH,projectE,projectC
Joseph;Douglas;37;100682;Hammond,Burton,Nunez,Huber;247943;projectG,projectA,projectE,projectD
Lambert;Gregory;41;114368;Castillo,Santana,Jones;230844;projectC,projectG,projectA
Mendez;Chelsea;52;100404;Riggs,Haney,Ingram,Watkins;180236;projectG,projectA,projectH,projectB
Parker;Kenneth;38;113052;Day,Marshall,Ritter,Hughes;194858;projectA,projectB,projectD,projectE
Rios;Jenny;46;118127;Garcia,Torres,Ellis,Miranda;259132;projectE,projectA
Stone;Angela;45;96151;Chung,Hurst,Patel;256712;projectD,projectF,projectC
Summers;Evan;50;114478;Herring,Chandler,Pearson;227400;projectC,projectB
Thomas;Cody;45;113816;Moreno,Nichols,Parsons;264212;projectA,projectF
